Data Table for Weekly Deaths - The United States
Date generated: Wed Jul 09 2025 22:42:33 GMT+0800 (中国标准时间)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jun 28 2025,61,Jul  3 2025
United States,Jun 21 2025,123,Jul  3 2025
United States,Jun 14 2025,143,Jul  3 2025
United States,Jun  7 2025,178,Jul  3 2025
United States,May 31 2025,199,Jul  3 2025
United States,May 24 2025,191,Jul  3 2025
United States,May 17 2025,222,Jul  3 2025
United States,May 10 2025,258,Jul  3 2025
United States,May  3 2025,286,Jul  3 2025
United States,Apr 26 2025,329,Jul  3 2025
United States,Apr 19 2025,382,Jul  3 2025
United States,Apr 12 2025,367,Jul  3 2025
United States,Apr  5 2025,416,Jul  3 2025
United States,Mar 29 2025,482,Jul  3 2025
United States,Mar 22 2025,468,Jul  3 2025
United States,Mar 15 2025,500,Jul  3 2025
United States,Mar  8 2025,611,Jul  3 2025
United States,Mar  1 2025,700,Jul  3 2025
United States,Feb 22 2025,734,Jul  3 2025
United States,Feb 15 2025,751,Jul  3 2025
United States,Feb  8 2025,835,Jul  3 2025
United States,Feb  1 2025,939,Jul  3 2025
United States,Jan 25 2025,961,Jul  3 2025
United States,Jan 18 2025,998,Jul  3 2025
United States,Jan 11 2025,1047,Jul  3 2025
United States,Jan  4 2025,905,Jul  3 2025
United States,Dec 28 2024,676,Jul  3 2025
United States,Dec 21 2024,596,Jul  3 2025
United States,Dec 14 2024,571,Jul  3 2025
United States,Dec  7 2024,502,Jul  3 2025
United States,Nov 30 2024,500,Jul  3 2025
United States,Nov 23 2024,474,Jul  3 2025
United States,Nov 16 2024,531,Jul  3 2025
United States,Nov  9 2024,560,Jul  3 2025
United States,Nov  2 2024,602,Jul  3 2025
United States,Oct 26 2024,647,Jul  3 2025
United States,Oct 19 2024,738,Jul  3 2025
United States,Oct 12 2024,807,Jul  3 2025
United States,Oct  5 2024,973,Jul  3 2025
United States,Sep 28 2024,1034,Jul  3 2025
United States,Sep 21 2024,1104,Jul  3 2025
United States,Sep 14 2024,1242,Jul  3 2025
United States,Sep  7 2024,1228,Jul  3 2025
United States,Aug 31 2024,1358,Jul  3 2025
United States,Aug 24 2024,1253,Jul  3 2025
United States,Aug 17 2024,1082,Jul  3 2025
United States,Aug 10 2024,1069,Jul  3 2025
United States,Aug  3 2024,984,Jul  3 2025
United States,Jul 27 2024,857,Jul  3 2025
United States,Jul 20 2024,735,Jul  3 2025
United States,Jul 13 2024,593,Jul  3 2025
United States,Jul  6 2024,533,Jul  3 2025
United States,Jul  6 2024,533,Jul  3 2025
United States,Jun 29 2024,443,Jul  3 2025
United States,Jun 22 2024,432,Jul  3 2025
United States,Jun 15 2024,366,Jul  3 2025
United States,Jun  8 2024,314,Jul  3 2025
United States,Jun  1 2024,324,Jul  3 2025
United States,May 25 2024,344,Jul  3 2025
United States,May 18 2024,340,Jul  3 2025
United States,May 11 2024,334,Jul  3 2025
United States,May  4 2024,426,Jul  3 2025
United States,Apr 27 2024,429,Jul  3 2025
United States,Apr 20 2024,499,Jul  3 2025
United States,Apr 13 2024,573,Jul  3 2025
United States,Apr  6 2024,631,Jul  3 2025
United States,Mar 30 2024,739,Jul  3 2025
United States,Mar 23 2024,851,Jul  3 2025
United States,Mar 16 2024,1042,Jul  3 2025
United States,Mar  9 2024,1102,Jul  3 2025
United States,Mar  2 2024,1270,Jul  3 2025
United States,Feb 24 2024,1326,Jul  3 2025
United States,Feb 17 2024,1390,Jul  3 2025
United States,Feb 10 2024,1622,Jul  3 2025
United States,Feb  3 2024,1745,Jul  3 2025
United States,Jan 27 2024,2135,Jul  3 2025
United States,Jan 20 2024,2366,Jul  3 2025
United States,Jan 13 2024,2586,Jul  3 2025
United States,Jan  6 2024,2496,Jul  3 2025
United States,Dec 30 2023,2231,Jul  3 2025
